產品線,產品,代號,階段,樣機編碼,預計產出／入庫,報量啟動,報量截止,可提單公告,狀態（截至 2026-07-29）,H3G／和記報量,公告人,證據來源,備註
平板,MatePad Air,Wooki,VN1,53014SGX／53014SHC／53014SHD,5月中下旬產出、5月底入庫,2026-04-08,2026-04-13,未見編碼公告（Excel 已有編碼）,報量已截止；編碼已在表,,Yaoting Chen 84446020,chat p1、p5-p8；欧洲平板样机计划-Wooki,三個 offering 均 AG3.0：12+256 藍機+白鍵盤／8+256 白機+白鍵盤／8+256 粉機+粉手寫筆
平板,MatePad Air,Wooki,VN2,53014TFP／53014TGC／53014TGE／53014UAD／53014TGH,6月05日入庫,未見（沿用前期報量）,—,2026-06-24,可提單／系統申請中,,Yaoting Chen 84446020,chat p25；欧洲平板样机计划-Wooki,海外試制 5 個 offering；公告要求依前期報量儘快在系統完成申請
平板,"MatePad Pro 12.2""",Dali,VN1,53014SQN／53014STS／皮套 9908303826,預計 6月10日產出,2026-04-13,2026-04-16,2026-06-03（2026-07-01 再催）,可提單／系統申請中,,Yaoting Chen 84446020,chat p1、p4-5、p22、p26；欧洲平板样机计划-Dali,2026-07-01 催辦：未申請國家儘快提交，以免影響本地認證節奏
平板,"MatePad Pro 12.2""",Dali,VN2,53014UGX／53014TVF／53014TVL,預計 7月20日產出,2026-05-06,2026-05-12,2026-07-20,可提單／系統申請中,,Yaoting Chen 84446020,chat p13、p17-19、p32；欧洲平板样机计划-Dali,VN2 試制 3 個 offering，含 12+256G 柔光錆色 inbox 皮套款
平板,MatePad Pro,Gellmann,VN1,53014RFV／53014QVV／皮套 9908295422,已產出,未見,—,未見,已產出（僅 Excel）,,—,欧洲平板样机计划-Gellmann,聊天記錄中無 VN1 公告；inbox 鍵盤版本為 V3
平板,MatePad Pro,Gellmann,VN2,方案1：53014RTX／23014RRS（Excel 記 53014RRS）；方案2：53014RXT／23014RRT,方案1 4月15日產出；方案2 4月22日產出,未見,—,2026-04-14,可提單／系統申請中（指定用方案1編碼）,,Yaoting Chen 84446020,chat p3-4；欧洲平板样机计划-Gellmann,配件：皮套 9908295422、手寫筆 55038578、鼠標 CD20-RA 黑 55039217／白 55039216。編碼 23014RRS（聊天）與 53014RRS（Excel）不一致，需核對
平板,Austen,Austen-W19DK,VN2,未出,預計 8月中旬,未見,—,未出,未開放（編碼未出）,1,—,欧洲平板样机计划-Austen,8GB+256GB 柔光、橙色主機、inbox US英語白色鍵盤
平板,Salinger（PC2 AG版）,Salinger-W29FK,VN2,53014MPD／53014MPA,預計 9月中入庫,未見,—,未見,編碼已出、待入庫,,—,欧洲平板样机计划-Salinger,第三欄標「2025年9月」，疑為舊資料；認證型號 SL-W09
平板,Laurent,Laurent-W09BK／W09DK,VN1,53014JVF／53014JVA,4月底5月初入庫,未見,—,未見,已入庫（僅 Excel）,,—,欧洲平板样机计划-Laurent,大T 合計 3 台
平板,Laurent,Laurent-W09DK／W09BK,VN2,53014KXA／53014KXB／53014KXD,6月底產出、7月初入庫（KXD 6月中產出、6月底入庫）,未見,—,未見,已入庫（僅 Excel）,,—,欧洲平板样机计划-Laurent,
穿戴,GT7,Atum-B39／B49、Konsu-B39,V4,見群公告,逐漸入庫,未見,—,2026-05-06,可提單／系統申請中,,Shengqi Sun 84451739,chat p14、p25,2026-06-11 再次公告：V4 樣機已陸續到一線
穿戴,GT7,Atum／Konsu,VN1,55020JKM／JKJ／JKF／JKQ／JKT／JKW／JLL／JLP／JLH／JLE,5月底,未見,—,2026-06-11,可提單／系統申請中,,Shengqi Sun 84451739,chat p25；EU Wearable-GT7,公告：VN1 樣機已入庫，請提單
穿戴,GT7,Atum／Konsu,VN2,55020JPD／JPR／JPM／JPH／JPV／JQA／JQE／JRD／JRH／JQY／JQT,6月底,未見,—,2026-05-06,可小幅調整（需私訊）,,Shengqi Sun 84451739,chat p14；EU Wearable-GT7,2026-05-06：VN2 樣機仍可小幅調整，需調整請私訊 Shengqi Sun
穿戴,WATCH 6,Leib-L19L／L29C、Niz-L19F／L29L／L29M／L29D,VN1,BOM 待補,6月中,未見,—,2026-05-21,可提單／系統申請中,,Shengqi Sun,chat p21；EU Wearable-WATCH 6,大表有三個 SKU 不上市但 V4 報量無法釋放，需照樣提單提走
穿戴,WATCH 6,Leib／Niz,VN2,未出,8月初,未見,—,未見,待入庫,,—,EU Wearable-WATCH 6,
穿戴,WATCH D3,Riva-B10／B11／B12,V4,55020JND／55020JNB／55020JMX,5月底,未見,—,2026-06-11,可提單／系統申請中,,Shengqi Sun 84451739,chat p25；EU Wearable-WATCH D3,V4 樣機不區分醫療版與非醫療版
穿戴,WATCH D3,Riva-B10／B11／B12,VN1,55020KDP／KDS（醫療）、55020KDW／KEA（非醫）、55020KFL／KFP（非醫）,6月底,未見,—,2026-07-06,可提單／系統申請中,,Shengqi Sun 84451739,chat p27；EU Wearable-WATCH D3,提單時需依國家上市情況區分醫療／非醫療版；法代全部為醫療版
穿戴,WATCH D3,Riva,VN2,未出,8月中,未見,—,未見,待入庫,,—,EU Wearable-WATCH D3,
穿戴,超薄FIT,Kita,V4,見群公告,六月下旬入庫,未見,—,2026-06-11,可提單／系統申請中,,Shengqi Sun 84451739,chat p25,
穿戴,FIT 5 & Pro,Niki-B19F／B29F／B29W,VN1,55020GWJ／HHH／HHB／HHF／HHD／HGX／HLP／HLQ／HLS,已入庫發出,未見,—,未見,已入庫（僅 Excel）,,—,EU Wearable-FIT 5&Pro,分基礎款與 Pro 版
穿戴,FIT 5 & Pro,Niki,VN2,55020HNW／HPA／HPJ／HPF／HPM／HSG／HSP／HSJ,已入庫,未見,—,未見,已入庫（僅 Excel）,,—,EU Wearable-FIT 5&Pro,
穿戴,WATCH Buds 2,Libra-B19L,VN1,55020GLM／55020GLN,9月底入庫,未見,—,未見,待入庫,,—,EU Wearable,黑色／棕色素皮氟膠複合錶帶
穿戴,WATCH Buds 2,Libra-B19L,VN2,未出,11月底入庫,未見,—,未見,待入庫,,—,EU Wearable,
穿戴,Ultimate 2 綠色,March-B39,VN1,55020GNC,11月底入庫,未見,—,未見,待入庫,,—,EU Wearable,年份待確認（推定 2026-11）
穿戴,Ultimate 2 綠色,March-B39,VN2,55020HFS,2月10日入庫,未見,—,未見,待入庫,,—,EU Wearable,年份待確認（推定 2027-02）
穿戴,Ultimate 2 滑雪款,March-B59,VN1,未出,6月底入庫,未見,—,未見,待入庫,,—,EU Wearable-文本（March-B59）,
穿戴,Ultimate 2 滑雪款,March-B59,VN2,未出,8月初入庫,未見,—,未見,待入庫,,—,EU Wearable-文本（March-B59）,
穿戴,Ultimate Design 金錶（新一代金錶）,Long-B69,VN2,55020GLR,已入庫,未見,—,未見,已入庫（僅 Excel）,,—,EU Wearable,另有 Long 開孔樣機，表上標註「暫時不報量」
穿戴,高端女錶,Chance-N19,VN1,55020HGF（開孔樣機 55020HGG）,已入庫,未見,—,未見,已入庫（僅 Excel）,,—,EU Wearable-高端女表（Chance）,金屬錶帶、天然織女星鑽石
穿戴,未確認機型,Chitu-B19F／W／FB／D,V4,55020GKE／55020GKH／55020GKL,已入庫（一款 11.7 入庫、一款 TBD）,未見,—,未見,部分已入庫,,—,EU Wearable,代號未在聊天中出現，對應機型待確認
穿戴,未確認機型,Chitu-B19,VN1,55020GSH／GSK／GSP／GSM,12月初入庫,未見,—,未見,待入庫,,—,EU Wearable,年份待確認
